Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
WEST VIRGINIA,2014,12,12,0,586
WISCONSIN,2014,12,12,278,2935
WYOMING,2014,12,12,0,15
ALABAMA,2014,13,13,0,851
ALASKA,2014,13,13,32,411
ARIZONA,2014,13,13,0,0
ARKANSAS,2014,13,13,268,2670
CALIFORNIA,2014,13,13,1674,14133
COLORADO,2014,13,13,213,4261
CONNECTICUT,2014,13,13,190,626
DELAWARE,2014,13,13,94,980
FLORIDA,2014,13,13,1074,12052
GEORGIA,2014,13,13,915,10474
HAWAII,2014,13,13,1,34
IDAHO,2014,13,13,0,476
ILLINOIS,2014,13,13,38,304
INDIANA,2014,13,13,126,2404
IOWA,2014,13,13,9,316
KANSAS,2014,13,13,0,220
KENTUCKY,2014,13,13,380,3745
LOUISIANA,2014,13,13,108,603
MAINE,2014,13,13,70,484
MARYLAND,2014,13,13,0,1811
MASSACHUSETTS,2014,13,13,0,4297
MICHIGAN,2014,13,13,359,4944
MINNESOTA,2014,13,13,15,24
MISSISSIPPI,2014,13,13,447,3449
MISSOURI,2014,13,13,0,1256
MONTANA,2014,13,13,73,749
NEBRASKA,2014,13,13,120,975
NEVADA,2014,13,13,0,802
NEW HAMPSHIRE,2014,13,13,1,10
NEW JERSEY,2014,13,13,217,1990
NEW MEXICO,2014,13,13,146,1284
NEW YORK,2014,13,13,778,8176
NORTH CAROLINA,2014,13,13,1809,11500
NORTH DAKOTA,2014,13,13,7,91
OHIO,2014,13,13,264,4241
OKLAHOMA,2014,13,13,0,303
OREGON,2014,13,13,305,3301
PENNSYLVANIA,2014,13,13,871,11063
RHODE ISLAND,2014,13,13,114,535
SOUTH CAROLINA,2014,13,13,0,4562
SOUTH DAKOTA,2014,13,13,30,321
TENNESSEE,2014,13,13,262,2632
TEXAS,2014,13,13,0,8491
UTAH,2014,13,13,100,1107
VERMONT,2014,13,13,12,174
VIRGINIA,2014,13,13,1146,8620
WASHINGTON,2014,13,13,375,4603
WEST VIRGINIA,2014,13,13,37,623
WISCONSIN,2014,13,13,305,3240
WYOMING,2014,13,13,0,15
ALABAMA,2014,14,14,341,1192
ALASKA,2014,14,14,36,447
ARIZONA,2014,14,14,0,0
ARKANSAS,2014,14,14,230,2900
CALIFORNIA,2014,14,14,1665,15798
COLORADO,2014,14,14,293,4554
CONNECTICUT,2014,14,14,140,766
DELAWARE,2014,14,14,73,1053
FLORIDA,2014,14,14,963,13015
GEORGIA,2014,14,14,961,11435
HAWAII,2014,14,14,0,34
IDAHO,2014,14,14,0,476
ILLINOIS,2014,14,14,48,352
INDIANA,2014,14,14,235,2639
IOWA,2014,14,14,15,331
KANSAS,2014,14,14,89,309
KENTUCKY,2014,14,14,368,4113
LOUISIANA,2014,14,14,0,603
MAINE,2014,14,14,0,484
MARYLAND,2014,14,14,398,2209
MASSACHUSETTS,2014,14,14,493,4790
MICHIGAN,2014,14,14,395,5339
MINNESOTA,2014,14,14,0,24
MISSISSIPPI,2014,14,14,0,3449
MISSOURI,2014,14,14,125,1381
MONTANA,2014,14,14,1,750
NEBRASKA,2014,14,14,58,1033
NEVADA,2014,14,14,0,802
NEW HAMPSHIRE,2014,14,14,0,10
NEW JERSEY,2014,14,14,200,2190
NEW MEXICO,2014,14,14,190,1474
NEW YORK,2014,14,14,921,9097
NORTH CAROLINA,2014,14,14,1239,12739
NORTH DAKOTA,2014,14,14,8,99
OHIO,2014,14,14,305,4546
OKLAHOMA,2014,14,14,0,303
OREGON,2014,14,14,231,3532
PENNSYLVANIA,2014,14,14,720,11783
RHODE ISLAND,2014,14,14,0,535
SOUTH CAROLINA,2014,14,14,0,4562
SOUTH DAKOTA,2014,14,14,22,343
TENNESSEE,2014,14,14,185,2817
TEXAS,2014,14,14,2038,10529
UTAH,2014,14,14,90,1197
VERMONT,2014,14,14,1,175
VIRGINIA,2014,14,14,777,9397
WASHINGTON,2014,14,14,344,4947
WEST VIRGINIA,2014,14,14,77,700
