Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
WASHINGTON,2014,13,13,80,896
WEST VIRGINIA,2014,13,13,10,123
WISCONSIN,2014,13,13,61,634
WYOMING,2014,13,13,0,1
ALABAMA,2014,14,14,87,313
ALASKA,2014,14,14,9,112
ARIZONA,2014,14,14,0,0
ARKANSAS,2014,14,14,73,830
CALIFORNIA,2014,14,14,430,4389
COLORADO,2014,14,14,22,559
CONNECTICUT,2014,14,14,0,75
DELAWARE,2014,14,14,14,332
FLORIDA,2014,14,14,215,3234
GEORGIA,2014,14,14,218,2857
HAWAII,2014,14,14,0,30
IDAHO,2014,14,14,0,23
ILLINOIS,2014,14,14,7,105
INDIANA,2014,14,14,51,617
IOWA,2014,14,14,5,53
KANSAS,2014,14,14,21,72
KENTUCKY,2014,14,14,90,971
LOUISIANA,2014,14,14,0,147
MAINE,2014,14,14,0,40
MARYLAND,2014,14,14,72,513
MASSACHUSETTS,2014,14,14,54,774
MICHIGAN,2014,14,14,77,1325
MINNESOTA,2014,14,14,0,7
MISSISSIPPI,2014,14,14,0,969
MISSOURI,2014,14,14,61,564
MONTANA,2014,14,14,0,53
NEBRASKA,2014,14,14,8,151
NEVADA,2014,14,14,0,198
NEW HAMPSHIRE,2014,14,14,0,26
NEW JERSEY,2014,14,14,42,423
NEW MEXICO,2014,14,14,6,84
NEW YORK,2014,14,14,118,1442
NORTH CAROLINA,2014,14,14,361,3741
NORTH DAKOTA,2014,14,14,0,5
OHIO,2014,14,14,94,1315
OKLAHOMA,2014,14,14,0,82
OREGON,2014,14,14,32,442
PENNSYLVANIA,2014,14,14,178,2991
RHODE ISLAND,2014,14,14,0,64
SOUTH CAROLINA,2014,14,14,0,1329
SOUTH DAKOTA,2014,14,14,0,7
TENNESSEE,2014,14,14,42,634
TEXAS,2014,14,14,497,2645
UTAH,2014,14,14,16,185
VERMONT,2014,14,14,1,3
VIRGINIA,2014,14,14,159,1942
WASHINGTON,2014,14,14,85,981
WEST VIRGINIA,2014,14,14,18,141
WISCONSIN,2014,14,14,60,694
WYOMING,2014,14,14,0,1
ALABAMA,2014,15,15,0,313
ALASKA,2014,15,15,9,121
ARIZONA,2014,15,15,0,0
ARKANSAS,2014,15,15,121,951
CALIFORNIA,2014,15,15,332,4721
COLORADO,2014,15,15,0,559
CONNECTICUT,2014,15,15,0,75
DELAWARE,2014,15,15,16,348
FLORIDA,2014,15,15,0,3234
GEORGIA,2014,15,15,230,3087
HAWAII,2014,15,15,0,30
IDAHO,2014,15,15,0,23
ILLINOIS,2014,15,15,9,114
INDIANA,2014,15,15,42,659
IOWA,2014,15,15,0,53
KANSAS,2014,15,15,0,72
KENTUCKY,2014,15,15,0,971
LOUISIANA,2014,15,15,12,159
MAINE,2014,15,15,0,40
